"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 26 08:00:02 GMT 2022","Fri Aug 26 08:00:03 GMT 2022","497","","empty spec","","","","passes",""
"passed","Fri Aug 26 08:01:02 GMT 2022","Fri Aug 26 08:01:03 GMT 2022","1325","","Funcionalidade: Ver perfis","","","","Deve validar o ultimo item da lista",""
"passed","Fri Aug 26 08:00:09 GMT 2022","Fri Aug 26 08:00:10 GMT 2022","558","","example to-do app","","","","can add new todo items",""
"passed","Fri Aug 26 08:00:36 GMT 2022","Fri Aug 26 08:00:38 GMT 2022","1839","","Funcionalidade: Login","","","","Deve fazer login com sucesso - Usando importação de dados",""
"passed","Fri Aug 26 08:00:42 GMT 2022","Fri Aug 26 08:00:47 GMT 2022","4698","","Funcionalidade: Criar perfil","","","","Deve criar perfil com sucesso",""
"passed","Fri Aug 26 08:00:52 GMT 2022","Fri Aug 26 08:00:56 GMT 2022","4175","","Funcionalidade: Criar perfil","","","","Deve validar mensagem de erro ao cadastrar com site errado",""
"passed","Fri Aug 26 08:01:07 GMT 2022","Fri Aug 26 08:01:07 GMT 2022","19","","Teste de API","","","","Teste usuario",""
"passed","Fri Aug 26 08:01:07 GMT 2022","Fri Aug 26 08:01:07 GMT 2022","31","","Teste de API","","","","Teste Dojo ",""
"passed","Fri Aug 26 08:01:13 GMT 2022","Fri Aug 26 08:01:13 GMT 2022","198","","Funcionalidade Login via API","","","","Deve fazer login com sucesso",""
"passed","Fri Aug 26 08:00:11 GMT 2022","Fri Aug 26 08:00:11 GMT 2022","319","example to-do app","with a checked task","","","","can filter for completed tasks",""
"passed","Fri Aug 26 08:00:22 GMT 2022","Fri Aug 26 08:00:25 GMT 2022","3664","","Funcionalidade: Cadastro","","","","Deve validar mensagem quando cadastrar com email repetido",""
"passed","Fri Aug 26 08:00:10 GMT 2022","Fri Aug 26 08:00:10 GMT 2022","313","example to-do app","with a checked task","","","","can filter for uncompleted tasks",""
"passed","Fri Aug 26 08:00:47 GMT 2022","Fri Aug 26 08:00:52 GMT 2022","4516","","Funcionalidade: Criar perfil","","","","Deve criar perfil com sucesso - Commands",""
"passed","Fri Aug 26 08:00:11 GMT 2022","Fri Aug 26 08:00:11 GMT 2022","326","example to-do app","with a checked task","","","","can delete all completed tasks",""
"passed","Fri Aug 26 08:00:31 GMT 2022","Fri Aug 26 08:00:33 GMT 2022","1331","Funcionalidade: Login com cucumber sem plugin","Dado que estou na página de login","Quando eu inserir usuário e senha","","","Então deve exibir a mensagem de boas vindas no dashboard",""
"passed","Fri Aug 26 08:00:10 GMT 2022","Fri Aug 26 08:00:10 GMT 2022","222","","example to-do app","","","","can check off an item as completed",""
"passed","Fri Aug 26 08:01:10 GMT 2022","Fri Aug 26 08:01:10 GMT 2022","210","","Funcionalidade Cadastro via API","","","","Deve fazer cadastro com sucesso",""
"passed","Fri Aug 26 08:00:19 GMT 2022","Fri Aug 26 08:00:22 GMT 2022","2610","","Funcionalidade: Cadastro","","","","Cadastro com sucesso",""
"passed","Fri Aug 26 08:00:09 GMT 2022","Fri Aug 26 08:00:09 GMT 2022","439","","example to-do app","","","","displays two todo items by default",""
"passed","Fri Aug 26 08:01:16 GMT 2022","Fri Aug 26 08:01:16 GMT 2022","266","","Funcionalidade Perfil via API","","","","Deve consultar perfil do usuário - Usando token dinâmico",""
